Date,2330.TW,2303.TW,2454.TW,2317.TW
2018-12-24,198.419677734375,9.315677642822266,187.78607177734375,59.21721649169922
2018-12-25,196.16488647460938,9.274087905883789,184.44764709472656,58.63665008544922
2018-12-26,195.26296997070312,9.315677642822266,183.61305236816406,58.22196578979492
2018-12-27,201.12538146972656,9.357264518737793,187.78607177734375,58.71959686279297
2018-12-28,203.38014221191406,9.357264518737793,191.5417938232422,58.71959686279297
2019-01-02,197.96871948242188,9.232501029968262,184.0303497314453,58.13903045654297
2019-01-03,194.36105346679688,9.066149711608887,186.5341796875,57.1437873840332
2019-01-04,187.59677124023438,8.899797439575195,181.10923767089844,56.06559753417969
2019-01-07,192.1063232421875,9.149325370788574,182.77845764160156,57.47553634643555
2019-01-08,190.30252075195312,9.107736587524414,185.28225708007812,56.89496994018555
2019-01-09,194.36105346679688,9.232501029968262,188.6206817626953,57.9731559753418
2019-01-10,194.81199645996094,9.274087905883789,188.6206817626953,57.47553634643555
2019-01-11,198.87062072753906,9.315677642822266,189.87257385253906,57.5584716796875
2019-01-14,197.06678771972656,9.232501029968262,193.21099853515625,56.9779052734375
2019-01-15,199.3215789794922,9.357264518737793,194.46292114257812,58.304908752441406
2019-01-16,196.16488647460938,9.39885139465332,197.8013153076172,58.22196578979492
2019-01-17,198.87062072753906,9.357264518737793,197.8013153076172,58.38784408569336
2019-01-18,197.06678771972656,9.482027053833008,203.6435546875,58.71959686279297
2019-01-21,199.3215789794922,9.731554985046387,204.06088256835938,59.05133819580078
2019-01-22,201.12538146972656,9.731554985046387,201.97434997558594,58.63665008544922
2019-01-23,198.87062072753906,9.606792449951172,201.13975524902344,57.80727767944336
2019-01-24,200.67442321777344,9.731554985046387,204.06088256835938,58.05609130859375
2019-01-25,203.83111572265625,9.939495086669922,206.98199462890625,58.63665008544922
2019-01-28,206.53683471679688,9.856318473815918,207.39927673339844,58.71959686279297
2019-01-29,200.67442321777344,9.98108196258545,204.89547729492188,57.9731559753418
2019-01-30,199.3215789794922,9.44044017791748,202.8089599609375,58.05609130859375
2019-02-11,205.63491821289062,9.024561882019043,216.57994079589844,57.9731559753418
2019-02-12,207.43875122070312,9.232501029968262,214.9107208251953,59.71483612060547
2019-02-13,206.53683471679688,9.232501029968262,216.1626434326172,59.71483612060547
2019-02-14,204.7329864501953,9.39885139465332,213.24151611328125,59.21721649169922
2019-02-15,204.7329864501953,9.482027053833008,210.32040405273438,58.304908752441406
2019-02-18,207.43875122070312,9.523615837097168,211.5723114013672,58.885467529296875
2019-02-19,206.53683471679688,9.523615837097168,208.6511993408203,59.71483612060547
2019-02-20,211.49729919433594,9.482027053833008,213.24151611328125,60.7100830078125
2019-02-21,213.30111694335938,9.523615837097168,216.1626434326172,61.20771026611328
2019-02-22,213.30111694335938,9.565203666687012,220.33566284179688,60.958892822265625
2019-02-25,214.65399169921875,9.689966201782227,235.77584838867188,60.8759651184082
2019-02-26,216.00685119628906,9.689966201782227,230.76821899414062,60.378334045410156
2019-02-27,215.55589294433594,9.523615837097168,233.68934631347656,60.29539489746094
2019-03-04,212.39923095703125,9.523615837097168,231.18553161621094,59.88071060180664
2019-03-05,210.1444549560547,9.6483793258667,227.8470916748047,59.63189697265625
2019-03-06,211.04635620117188,9.731554985046387,233.68934631347656,60.12952423095703
2019-03-07,211.04635620117188,9.856318473815918,228.68170166015625,59.383087158203125
2019-03-08,207.43875122070312,9.6483793258667,223.25677490234375,58.63665008544922
2019-03-11,207.8896942138672,9.523615837097168,225.34329223632812,58.38784408569336
2019-03-12,212.39923095703125,9.689966201782227,225.76058959960938,59.05133819580078
2019-03-13,213.75209045410156,9.606792449951172,227.8470916748047,58.63665008544922
2019-03-14,211.49729919433594,9.523615837097168,227.4298095703125,58.968406677246094
2019-03-15,215.55589294433594,9.689966201782227,230.35093688964844,58.553714752197266
2019-03-18,217.35972595214844,9.731554985046387,232.0201416015625,59.71483612060547
2019-03-19,216.90878295898438,9.731554985046387,229.93360900878906,59.963645935058594
2019-03-20,218.2616424560547,9.606792449951172,229.09901428222656,60.04658508300781
2019-03-21,221.41831970214844,9.6483793258667,231.6028289794922,60.54420471191406
2019-03-22,224.12400817871094,9.81473159790039,237.0277557373047,60.54420471191406
2019-03-25,217.8106689453125,9.689966201782227,230.76821899414062,59.05133819580078
2019-03-26,220.06544494628906,9.689966201782227,234.52392578125,59.5489616394043
2019-03-27,217.8106689453125,9.689966201782227,233.2720489501953,59.63189697265625
2019-03-28,218.2616424560547,9.689966201782227,230.76821899414062,59.5489616394043
2019-03-29,221.41831970214844,9.689966201782227,235.77584838867188,60.958892822265625
